Original,Traduzido
Tooth erosion,Erosão dentária
Tooth fracture,Fratura dentária
Tooth hypoplasia,Hipoplasia dentária
Tooth infection,Infecção dentária
Tooth injury,Lesão dentária
Tooth loss,Perda de dente
Tooth malformation,Malformação dentária
Toothache,Dor de dente
Torsade de pointes,Torsade de pondeses
Torsion of ovary,Torção do ovário
Torticollis,Torcicolo
Total spinal block,Bloco total da coluna vertebral
Tourette's disorder,Transtorno de Tourette
Toxic confusional state,Estado de confusão tóxica
Toxic dilatation of intestine,Dilatação tóxica do intestino
Toxic encephalopathy,Encefalopatia tóxica
Toxic epidermal necrolysis,Necrólise epidérmica tóxica
Toxic neuropathy,Neuropatia tóxica
Toxic pustuloderma,Pustuloderma tóxica
Toxic reaction (NOS),Reação tóxica (NOS)
Toxic shock syndrome,Síndrome de choque tóxico
Toxic skin eruption,Erupção tóxica da pele
Toxic symptom,Sintoma tóxico
Toxicity to various agents,Toxicidade para vários agentes
Toxoplasmosis,Toxoplasmose
Tracheal disorder,Transtorno traqueal
Tracheal fistula,Fístula traqueal
Tracheitis,Traqueíte
Tracheo-oesophageal fistula,Fístula traqueoesofágica
Tracheobronchitis,Traqueobronquite
Tracheostomy infection,Infecção por traqueostomia
Traffic accident,Acidente de trânsito
Tranquillisation excessive,Tranquilização excessiva
Transaminases decreased,As transaminases diminuíram
Transaminases increased,As transaminases aumentaram
Transaminitis,Transaminite
Transfusion reaction,Reação de transfusão
Transient cerebral ischemia,Isquemia cerebral transitória
Transient cerebrovascular events,Eventos cerebrovasculares transitórios
Transient global amnesia,Amnésia global transitória
Transient insomnia,Insônia transitória
Transient ischaemic attack,Ataque isquêmico transitório
Transplant failure,Falha de transplante
Transplant rejection,Rejeição de transplante
Transverse sinus thrombosis,Trombose do seio transversal
Trauma,Trauma
Traumatic arthropathy,Artropatia traumática
Traumatic fracture,Fratura traumática
Traumatic haematoma,Hematoma traumático
Traumatic haemorrhage,Hemorragia traumática
Traumatic liver injury,Lesão no fígado traumático
Traumatic lung injury,Lesão pulmonar traumática
Trembling,Tremendo
Tremor,Tremor
Tremor coarse,Tremor grosso
Tremor fine,Tremor bem
Tremor limb,Tremor membro
Tremor muscle,Tremor músculo
Tremor of hands,Tremor das mãos
Tremulousness,Trêmula
Treponema infections,Infecções por treponema
Trichomonal vaginitis,Vaginite tricomonal
Trichorrhexis,Trichorrhexis
Trichotillomania,Tricotilomania
Tricuspid valve incompetence,Incompetência da válvula tricuspídea
Trigeminal neuralgia,Neuralgia do trigêmeo
Trigger finger,Gatilho do dedo
Trismus,Trismus
Trisomy 18,Trisomia 18
Trisomy 21,Trisomia 21
Troponin I increased,Troponina I aumentava
Troponin increased,A troponina aumentou
Tubal pregnancy,Gravidez tubária
Tuberculin test positive,Teste de tuberculina positivo
Tuberculosis,Tuberculose
Tubulointerstitial nephritis,Nefrite tubulointersticial
Tumour cell mobilisation,Mobilização de células tumorais
Tumour compression,Compressão do tumor
Tumour flare,Flare tumoral
Tumour haemorrhage,Hemorragia tumoral
Tumour invasion,Invasão tumoral
Tumour lysis syndrome,Síndrome da lise tumoral
Tumour necrosis,Necrose tumoral
Tumour pain,Dor no tumor
Tunnel vision,Visão de túnel
Turner's syndrome,Síndrome de Turner
Tympanic membrane disorder,Transtorno da membrana timpânica
Tympanic membrane hyperaemia,Hiperemia da membrana timpânica
Tympanic membrane perforation,Perfuração da membrana timpânica
Type 1 diabetes mellitus,Diabetes mellitus tipo 1
Type 2 diabetes mellitus,Diabetes mellitus tipo 2
Type I hypersensitivity,Hipersensibilidade do tipo I.
Type III immune complex mediated reaction,Reação mediada por complexo imune tipo III
Type IIa hyperlipidaemia,Tipo IIA hiperlipidemia
Type IV hypersensitivity reaction,Reação de hipersensibilidade do tipo IV
Typhoid fever,Febre tifóide
Ulcer,Úlcera
Ulcer foot,Pé de úlcera
Ulcer haemorrhage,Ulcer Hemorragia
Ulcerative enterocolitis,Enterocolite ulcerosa
Ulcerative keratitis,Ceratite ulcerosa
Ulcerative stomatitis,Estomatite ulcerosa
Ulna fracture,Ulna fratura
Ultrasound breast abnormal,Ultrassom mamário anormal
Ultrasound ovary abnormal,Ovário de ultrassom anormal
Umbilical hernia,Hérnia umbilical
Unable to walk,Incapaz de andar
Uncontrolled hypertension,Hipertensão não controlada
Underweight,Underweight
Unexpected therapeutic effect,Efeito terapêutico inesperado
Unilateral vision loss,Perda de visão unilateral
Unintended pregnancy,Gravidez não intencional
Unresponsive to stimuli,Sem resposta a estímulos
Unresponsive to verbal stimuli,Que não responde a estímulos verbais
Unrest,Agitação
Unspecified circulatory system disorder,Transtorno do sistema circulatório não especificado
Unspecified condition originating in the perinatal period,Condição não especificada originária do período perinatal
"Unspecified congenital anomaly of brain, spinal cord, and nervous system","Anomalia congênita não especificada de cérebro, medula espinhal e sistema nervoso"
Unspecified disorder of autonomic nervous system,Transtorno não especificado do sistema nervoso autonômico
Unspecified disorder of intestine,Distúrbio não especificado do intestino
Unspecified disorder of skin and subcutaneous tissue,Transtorno não especificado da pele e tecido subcutâneo
Unspecified non-gonococcal urethritis (NGU),Uretrite não-gonocócica não especificada (NGU)
Unspecified visual loss,Perda visual não especificada
Unsteadiness,Instabilidade
Unsteady gait,Marcha instável
Unwanted awareness during anaesthesia,Consciência indesejada durante a anestesia
Unwell,Doente
Upper abdominal discomfort,Desconforto abdominal superior
Upper airway obstruction,Obstrução das vias aéreas superiores
Upper gastrointestinal haemorrhage,Hemorragia gastrointestinal superior
Upper gastrointestinal symptoms,Sintomas gastrointestinais superiores
Upper limb fracture,Fratura do membro superior
Upper limb oedema,Edema do membro superior
Upper motor neurone lesion,Lesão do neurônio motor superior
Upper respiratory tract congestion,Congestionamento
Upper respiratory tract infection,Infecção do trato respiratório superior
Upper respiratory tract inflammation,Inflamação do trato respiratório superior
Upper respiratory tract signs and symptoms,Sinais e sintomas do trato respiratório superior
Upper-airway cough syndrome,Síndrome da tosse no ar superior
Upset stomach,Dor de estômago
Uraemic syndrome,Síndrome uramic
Urate crystalluria,Urato cristalúria
Urate nephropathy,Urato nefropatia
Urea increased,Ureia aumentou
Uremia,Uremia
Ureteral spasm,Espasmo ureteral
Ureteric cancer,Câncer ureterico
Ureteric obstruction,Obstrução ureteria
Ureteritis,Ureterite
Ureterostomy site discomfort,Desconforto no local da ureterostomia
Urethral discharge,Descarga uretral
Urethral disorder,Transtorno uretral
Urethral haemorrhage,Hemorragia uretral
Urethral obstruction,Obstrução uretral
Urethral pain,Dor uretral
Urethral stenosis,Estenose uretral
Urethral syndrome,Síndrome uretral
Urethritis,Uretrite
Urethritis noninfective,Uretrite não infecciosa
Urge incontinence,Incontinência urgente
Uric acid abnormal,Ácido úrico anormal
Uric acid high,Ácido úrico alto
Uric acid increased,O ácido úrico aumentou
Uric acid level increased,O nível de ácido úrico aumentou
Uricaciduria,Uricacidúria
Urinary abnormalities,Anormalidades urinárias
Urinary bladder polyp,Pólipo da bexiga urinária
Urinary frequency aggravated,Frequência urinária agravada
Urinary hesitation,Hesitação urinária
Urinary incontinence,Incontinência urinária
Urinary protein increased,A proteína urinária aumentou
Urinary retention,Retenção urinária
Urinary sediment abnormal,Sedimentos urinários anormais
Urinary sediment present,Sedimentos urinários presentes
Urinary tract disorder,Transtorno do trato urinário
Urinary tract infection,Infecção do trato urinário
Urinary tract infection fungal,Fungo de infecção do trato urinário
Urinary tract obstruction,Obstrução do trato urinário
Urinary tract pain,Dor no trato urinário
Urinary tract signs and symptoms,Sinais e sintomas do trato urinário
Urination impaired,Urinar prejudicada
Urine abnormality,Anormalidade da urina
Urine analysis abnormal,Análise de urina anormal
Urine calcium increased,O cálcio da urina aumentou
Urine color abnormal,Cor da urina anormal
Urine drug screen positive,Tela de drogas de urina positiva
Urine electrolytes abnormal,Eletrólitos de urina anormais
Urine flow decreased,O fluxo de urina diminuiu
Urine ketone body present,Corpo de cetona de urina presente
Urine odour abnormal,Odor de urina anormal
Urine odour foul,Odor de urina
Urine output,Saída de urina
Urine output increased,A produção de urina aumentou
Urine phosphate increased,Fosfato de urina aumentou
Urine phosphorus increased,O fósforo de urina aumentou
Urine sodium increased,O sódio da urina aumentou
Urogenital disorder,Transtorno urogenital
Urogenital haemorrhage,Hemorragia urogenital
Urolithiasis,Urolitíase
Urosepsis,Urosepsia
Urticaria,Urticária
Urticaria chronic,Urticária crônica
Urticaria localised,Urticária localizada
Urticaria physical,Urticária física
Urticaria recurrent,Urticária recorrente
Urticaria vesiculosa,Urticária vesiculosa
Uterine atony,ATONY UTERINA
Uterine cancer,Câncer uterino
Uterine cervical erosion,Erosão cervical uterina
Uterine cervical lesion,Lesão cervical uterina
Uterine cervical squamous metaplasia,Metaplasia escamosa uterina
Uterine contractions,Contrações uterinas
Uterine contractions during pregnancy,Contrações uterinas durante a gravidez
Uterine cramps,Cólicas uterinas
Uterine cyst,Cisto uterino
Uterine disorder,Transtorno uterino
Uterine enlargement,Ampliação uterina
Uterine fibroids aggravated,Miomas uterinos agravados
Uterine fibroids enlarged,Miomas uterinos aumentados
Uterine haemorrhage,Hemorragia uterina
Uterine hypertonus,Hipertonus uterino
Uterine hypotonus,Hipotonus uterino
Uterine inflammation,Inflamação uterina
Uterine leiomyoma,Leiomioma uterino
Uterine mass,Massa uterina
Uterine neoplasm,Neoplasia uterina
Uterine pain,Dor uterina
Uterine perforation,Perfuração uterina
Uterine polyp,Pólipo uterino
Uterine prolapse,Prolapso uterino
Uterine rupture,Ruptura uterina
Uterine spasm,Espasmo uterino
Uterovaginal prolapse,Prolapso uterovaginal
Uveitis,Uveíte
VIIth nerve paralysis,Paralisia do nervo viith
VIth nerve paralysis,Vith paralisia do nervo
VT,Vt
Vaginal burning sensation,Sensação de queima vaginal
Vaginal contraceptive device expelled,Dispositivo contraceptivo vaginal expelido
Vaginal cyst,Cisto vaginal
Vaginal discharge,Descarga vaginal
Vaginal discomfort,Desconforto vaginal
Vaginal disorder,Transtorno vaginal
Vaginal dryness,Secura vaginal
Vaginal dysplasia,Displasia vaginal
Vaginal erosion,Erosão vaginal
Vaginal erythema,Eritema vaginal
Vaginal haemorrhage,Hemorragia vaginal
Vaginal infection,Infecção vaginal
Vaginal inflammation,Inflamação vaginal
Vaginal irritation,Irritação vaginal
Vaginal itching,Coceira vaginal
Vaginal moniliasis,Monilíase vaginal
Vaginal mucosal blistering,MUCOSA VAGINAL BLISEING
Vaginal mycosis,Micose vaginal
Vaginal neoplasm,Neoplasia vaginal
Vaginal odour,Odor vaginal
Vaginal pain,Dor vaginal
Vaginal prolapse,Prolapso vaginal
Vaginal swelling,Inchaço vaginal
Vaginal ulceration,Ulceração vaginal
Vaginal wall congestion,Congestão da parede vaginal
Vaginismus,Vaginismo
Vaginitis atrophic,Vaginite atrófica
Vaginitis bacterial,Vaginite bacteriana
Vaginitis ulcerative,Vaginite ulcerativa
Vagotonia,Vagotonia
Vanishing bile duct syndrome,Síndrome do ducto biliar desaparecido
Varicella,Varicela
Varicella zoster,Varicella Zoster
Varices oesophageal,Varizes esofágicos
Varicocele,Varicocele
Varicose vein,Varizes veias
Varicose veins vulval,VEIAS VAIAS VULTRAL
Variegate porphyria,Variegate Porphyria
Vascular anomaly,Anomalia vascular
Vascular calcification,Calcificação vascular
Vascular dementia,Demência vascular
Vascular graft occlusion,Oclusão vascular do enxerto
Vascular headache,Dor de cabeça vascular
Vascular hypertensive disorders,Distúrbios hipertensos vasculares
Vascular hypotensive disorders,Distúrbios hipotensos vasculares
Vascular insufficiency,Insuficiência vascular
Vascular occlusion,Oclusão vascular
Vascular pain,Dor vascular
Vascular pseudoaneurysm,Pseudoaneurisma vascular
Vascular purpura,Purpura vascular
Vascular resistance,Resistência vascular
Vascular resistance pulmonary increased,A resistência vascular pulmonar aumentou
Vascular resistance systemic,Resistência vascular sistêmica
Vascular rupture,Ruptura vascular
Vascular stenosis,Estenose vascular
Vasculitic rash,Erupção cutânea vasculítica
Vasculitis,Vasculite
Vasculitis cerebral,Vasculite cerebral
Vasculitis gastrointestinal,Vasculite gastrointestinal
Vasculitis necrotising,Vasculite necrosante
Vaso-occlusive crisis,Crise vaso-oclusiva
Vasoconstriction,Vasoconstrição
Vasoconstriction peripheral,Periférico vasoconstrição
Vasodilatation,Vasodilatação
Vasodilation,Vasodilatação
Vasodilation procedure,Procedimento de vasodilatação
Vasomotor collapse,Colapso vasomotor
Vasomotor rhinitis,Rinite vasomotora
Vasospasm,Vasoespasmo
Vasospasm cerebral,Vasoespasmo cerebral
Vasovagal symptoms,Sintomas vasovagais
Vegetative dystonia,Distonia vegetativa
Vein discolouration,Descoloração da veia
Vein disorder,Transtorno da veia
Vein distended,Veia distendida
Vein pain,Dor de veia
Vena cava thrombosis,Trombose da veia cava
Venipuncture site bruise,Hematomas no local da venocura
Venipuncture site hemorrhage,Hemorragia no local da venocura
Venomous bite,Mordida venenosa
Venoocclusive disease,Doença venoocclusiva
Venoocclusive liver disease,Doença hepática venoocclusiva
Venospasm,Venosespasmo
Venous insufficiency,Insuficiência venosa
Venous occlusion,Oclusão venosa
Venous pressure increased,A pressão venosa aumentou
Venous pressure jugular increased,Jugular de pressão venosa aumentou
Venous thromboembolism,Tromboembolismo venoso
Venous thrombosis,Trombose venosa
Venous thrombosis deep limb,Trombose venosa Limbo profundo
Venous thrombosis limb,Membro da trombose venosa
Ventilator associated pneumonia,Pneumonia associada ao ventilador
Ventricular arrhythmia,Arritmia ventricular
Ventricular bigeminy,BigMiny ventricular
Ventricular dysfunction,Disfunção ventricular
Ventricular extrasystoles,Extraystóis ventriculares
Ventricular failure,Falha ventricular
Ventricular fibrillation,Fibrilação ventricular
Ventricular flutter,Vibração ventricular
Ventricular hypertrophy,Hipertrofia ventricular
Ventricular hypokinesia,Hipocinesia ventricular
Ventricular septal defect,Defeito do septo ventricular
Ventricular tachycardia,Taquicardia ventricular
Vermiculation,Vermiculação
Vertebrobasilar insufficiency,Insuficiência vertebrobasilar
Vertical infection transmission,Transmissão de infecção vertical
Vertigo,Vertigem
Vertigo CNS origin,Origem do Vertigo CNS
Vertigo positional,Vertigem posicional
Vesiculobullous rash,Erupção cutânea vesiculobulosa
Vessel perforation,Perfuração do navio
Vessel puncture site bruise,Hematomas no local da punção de embarcações
Vessel puncture site haematoma,Hematoma do local da punção de embarcações
Vessel puncture site haemorrhage,Hemorragia
Vessel puncture site inflammation,Inflamação no local da punção de embarcações
Vestibular ataxia,Ataxia vestibular
Vestibular disorder,Transtorno vestibular
